Title,Description
FiendFyre,"(From Little Hangleton)
• In somatic and verbal terms, it's the easiest dark spell ever invented. Just whirl your wand overhead in a circle and then point it at the target while screaming **'Fiendfyre!'**

• In order to satisfy the esoteric requirement you must focus your mind on a memory of hating someone so much that you would die to ensure their destruction. So much, that you would see everyone left that you still cared about die along with you. 

• Harry's and Regulus' fiendfyre flames take the shape of an enormous serpent and a wolf-like predator respectively. Described as daemonic antitheses of their patronuses. 

• It is not considered a unforgivable because there are Class XXXXX creatures who can only be harmed by Fiendfyre. If you've summoned Fiendfyre and your opponent kills you, its flames will run wild, destroying your assailant as revenge. Along with everything within a few miles. 
*Additionally, it can bend the Avada Kedavra by diverting it 3 degrees to the right from the point the curse strikes the hellfire*

• The immediate aftereffects of Fiendfyre are highly toxic. It takes at least a week for the residual curse-fire to dissipate enough to enter an area where Fiendfyre was recently cast, although long term exposure is toxic for years after."
Slytherin's Locket,"(From Meet Regulus Black)
The locket is described to be golden that bears a stylized ""S"" that usually appeared in depictions of Salazar Slytherin.

• Originally kept in a cave set in a seaside cliff near Clacton-on-Sea, Voldemort uses Kreacher to test if the trap he has set to defend the locket works. The cave is surrounded by a lake that hides an army of inferi.  

• Regulus Black commands Kreacher to lead him to the locket where Black drinks the foul potion designed to drive men mad. Then he charges his house-elf with destroying it. Due to the fatal thirst caused by the potion he is forced to drink from the inferi infested lake. He makes one last ditch effort to save himself and shapeshifts into Lord Voldemort (which scares the Inferi off) and manages to apparate away. 

• Regulus discovers that the horcrux cannot be destroyed by elf magic and he does not have the esoteric requirements at the time to destroy it with fiendfyre. He then chooses to flee to Australia under the name of ""Lazarus White"". 

• Harry uses parseltongue to open the locket after first learning from the S shaped snake on its front that Voldemort also used an object from Hufflepuff to make a Horcrux. The locket then takes the form of memories to torture both Harry and Regulus.

• Harry eventually destroys the Locket with a basilisk fang"
The Diary / Thaumaturgical Organizing Matrix,"(From Revelations in a Disused Lavatory) 
The Diary / **T**haumaturgical **O**rganizing **M**atrix: Created by Tom Marvolo Riddle to serve as a study aid. Notes can be organized and restructured however the user wishes. The diary can edit papers for both grammar and context, a magical grammarly if you will. Also can possess one Ron Weasley 

• Was created after the death of Myrtle and Tom's Occlumency induced sociopathy. It was created to be an entirely separate entity from Riddle, with its personality altered enough so that it was able to become his Secret Keeper for the Fidileus Charm housing the secret `Tom Marvolo Riddle is the dark wizard known as Lord Voldemort` 

• The Diary was destroyed by Harry in the Chamber of Secrets with the Sword of Gryffindor after it was coated in basilisk venom. Jim was also in the Chamber and both he and Harry became the secret keepers of Tom Riddle's secret after the diary was destroyed.
"
Hufflepuff's Cup,"Created by Helga Hufflepuff, she outlived the rest of the Founders by three decades. 
• Destroyed by Harry after he asked the group who wanted to keep it and who wanted to destroy it. Everyone in the room who had strong Occlumency defenses wanted to destroy the horcrux immediately, while everyone who *didn't* was making excuses for keeping it around indefinitely until they could figure out how to *use* it. 

• Bellatrix informed Harry that the Cup in currently in her vault at Gringotts and only she is able to recover it due to bio-magical signature security placed on the vault that she ensured was on the vault when her master entrusted her with a valuable item. One of these measures include the use of the  Flagrante-Gemino Curse.

• At its base has the words *Vinum Bibistus* inscribed which translates to *""Drink Wine""*. Lucius identifies the inscription from *Rubaiyat* a collection of 11th century poetry written by Omar Khayyam. The full [passage](https://libquotes.com/omar-khayy%C3%A1m/quote/lbt4u8r ""this is a real thing"") goes: ""*Drink wine. This life is eternal. This is all that youth will give you. It is the season for wine, roses, and drunken friends. Be happy for this moment. This moment is your life*"". "
Imago Dei,"(First mentioned in Investigating Into Dark Matters)
**Imago Dei** is a spell found in the Anathema Codex (see `qd 18`) It is a spell of Wild Magic (see `qd 20`) that can literally re-write reality to the caster's wishes. Its literal translation in English is 'Image of God'. 
• Imago Dei is the first spell from the Anathema Codex seen being performed ""on-screen"".
• The second is The Rune of Singular Hate which was used during the attack on Hogsmeade. 
[See More](https://prince-of-slytherin.fandom.com/wiki/Imago_Dei ""Image of God"")"
The Anathema Codex,"**The Anathema Codex** is a grimoire which contains various spells and rituals, relating to the summoning and usage of Wild Magic (see `qd 20`), which have been deemed too dangerous to society should they become public knowledge. It contains spells, rituals, potions, procedures for breeding unnatural beasts, and ancient runes. 

__List of spells which are known to be contained within:__
  •  The Lament Configuration
  •  The Bane of Sicily
  •  The Six-fingered Hand
  •  The Rune of Singular Hate
  •  The Nightmare Child
  •  The Feast of Shadows
  •  The Inverted Mirror
  •  The Hounds of Tindalos
  •  Imago Dei (see `qd 17`)
  •  The Horcrux Ritual
[See More](https://prince-of-slytherin.fandom.com/wiki/Anathema_Codex ""Not to be confused with Anne #6204"")"
Azkaban Conspiracy / Azkabal,"The **Azkaban Conspiracy**, also known as the **Azkabal**, was the group responsible for the July 31, 1993 Azkaban breakout. The group was initiated by Regulus Black, who had been planning this for years. 

• The group's primary objective was to free Sirius Black, Rophuldus Lestrange, Rastaban Lestrange, Bellatrix Lestrange, and Augustus Rookwood from Azkaban's high security track. Sirius was freed because he is innocent and Regulus brother, the other four were taken for their potential knowledge of Lord Voldemort's Horcruxes. [See More](https://prince-of-slytherin.fandom.com/wiki/Azkaban_Conspiracy)"
Wild Magic,"**Wild Magic** is Magic in its raw form, can be summed up in eight simple words: `'As I will it, so mote it be.'` Wizards have spent millennia striving to limit magic's potential, to ensure that magic is irrevocably linked to wands and incantations, defined as charms and transfigurations and potions, and restrained by the principles of arithmancy and runic matrices. The minute a compatible wand is picked up at Olivander's, those sparks that shot out represent the one's promise as a wizard that they would work magic according to the principles taught at magical schools, like Hogwarts. 
• *Accidental Magic is the simplest form of Wild Magic.* 
• It is theorized that **Wild Magic** is what is keeping Harry's scar from being identified as a Sowilō rune along with messing with a lot of other things in Harry's life. [See More](https://prince-of-slytherin.fandom.com/wiki/Wild_Magic ""Wheels Within Wheels"")"
Memory Palace ,"**Memory palace**: After mastering the second level of occlumency, a wizard can begin constructing his Memory Palace. This is described as a psychic landscape in which all of your memories can be safeguarded and can be sued as a fortress against more powerful psychic attacks.

• Constructing a memory palace is one of the most difficult aspects of Occlumency training. It is based on a real-world location where you feel safe and in control of your surroundings. It should be cluttered like a library or a storage area. It is a place where you can imagine yourself leaving things behind to be picked up again later.

• Once properly developed can store your most sensitive memories in a partitioned area of your mind and can protect them with psychic traps capable of harming those who push too far. 

• A Memory palace can be used to store false personalities that can be draped over your true self

• False memory palaces can be created as Legilimancy traps to harm those who walk in. Jim gets trapped within Diary Riddle's memory palace 

• Vasyl Dobroshtan (from Beauxbatons) created a technique for embedding psychic attacks inside artwork designed to magically draw and hold the viewer's undivided attention. One of his creations was a *Cruciatus Curse* conveyed through art. Rufus Scrimgeour locked this image away in his Memory Palace and uses it to fight back against Rookwood during *The Fall of the House of Potter (Pt 1)*."
Ultimate Sanction (US),"**The Ultimate Sanction**, also known as *Sanctumen Ultimo*, is a provision of the Inheritance Act of 1588 that gives any Wizengamot House's Head the ability to disown a member of their House if the Head judges that the member has committed treason against their House or has committed actions that, if left unchallenged, threatens the survival of that House. 

When activated, the recipient will be forcefully removed from their House, with the recipient's surname becoming ""No-Name"", and losing any ties to their former house, including inheritance. [See More](https://prince-of-slytherin.fandom.com/wiki/The_Ultimate_Sanction)"
WoG / WZT / WGT / 3M / MoM / OoE,(see `qd abbreviations`)
Parseltongue,"An ancient forbidden language spoken by a race of people that were unmade by magic. When Salazar Slytherin visited Sardeth in prison, he asked that Parseltongue be passed down to his heirs and preserved forever. If you do not happen to be an Heir of Slytherin (and thus cannot naturally speak it at birth), an inherent property of the language is to trigger a powerful fear reaction in those who hear it. Often just listening to it for extended periods of time prior to mastery will cause extreme psychological stress. (see `qd Sardeth`)"
Sardeth — The Last Naga,"Sardeth is forever barred from our world, imprisoned by Wild Magic. He is an impossible anomaly — the last survivor of a race which never existed. Reality itself rejects his existence as it undid his people as if they never existed.  (see `qd Wild Magic`)
Sardeth used forbidden rites to take himself beyond the guildhalls of Lares, out to the deepest parts of the Wild. There he performed the greatest Working of magic that made his very *language* magical. He wished that the naga could speak their desires and by the will and the word have it come to pass. As a result, reality strained and then buckled, and magic decided to wipe them from all of existence. He alone remains to tell the story to any who seek his blessing.

__Notable Visitors__
• Salazar Slytherin asked for Parseltongue to be passed down to his heirs and preserved forever. He feared Parseltongue would be completely lost over time. (see `qd Parseltongue`)
• Tom Riddle sought knowledge of how to more fully reject the humanity within himself. Sardeth provided him with knowledge of rituals that would transfigure him bodily to eventually gain naga features. 
• Ron Weasley accidentally finds his way to Sardeth’s prison and we learn that Ron’s greatest wish is to save the life of the Boy-Who-Lived, no matter the cost. Sardeth cannot grant a wish that will already come to pass, and instead rids Ron of his fear of spiders. 
"
Occlumency,"Occlumency is the art of organizing and controlling your own mind. The basic art involves the ability to detect intrusive psychic attacks and defend against them. Those who study the art generally organize it into a 7 level tree, and at each level there are ancillary powers and effects that branch from the basic defensive power to provide other benefits.
A person who practises this art is known as an Occlumens
(See `qd Occlumency` for an entire list of Occlumency abilities by level)"
